City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,sooke,48.3746,-123.7276,23.99,90,86,7.2,CA,1691617771
108,mirnyy,62.5353,113.9611,16.8,88,98,1.79,RU,1691617771
109,happy valley-goose bay,53.3168,-60.3315,18.17,77,100,3.6,CA,1691617771
110,georgetown,5.4112,100.3354,26.68,95,40,2.06,MY,1691617772
111,ende,-8.8432,121.6623,22.13,84,100,1.13,ID,1691617772
112,moses lake,47.1301,-119.2781,29.38,32,0,4.12,US,1691617655
113,isafjordur,66.0755,-23.124,8.61,68,90,3.54,IS,1691617772
114,christchurch,-43.5333,172.6333,3.84,75,100,5.66,NZ,1691617348
115,santa cruz,-17.8,-63.1667,29.7,48,0,6.69,BO,1691617700
116,santarem,-2.4431,-54.7083,32.07,66,20,6.69,BR,1691617625
117,kutum,14.2,24.6667,23.75,69,70,1.96,SD,1691617773
118,benguela,-12.5763,13.4055,20.56,80,94,0.89,AO,1691617773
119,amontada,-3.3617,-39.8317,25.34,77,67,3.59,BR,1691617773
120,westport,41.1415,-73.3579,30.61,47,20,5.14,US,1691617602
121,waldkraiburg,48.2085,12.3989,15.34,81,91,3.02,DE,1691617773
122,udachny,66.4167,112.4,14.14,58,98,2.58,RU,1691617773
123,artsyz,45.9919,29.4182,19.05,52,18,2.97,UA,1691617773
124,punta arenas,-53.15,-70.9167,3.5,90,100,2.64,CL,1691617353
125,quilmana,-12.95,-76.3833,20.41,73,44,2.29,PE,1691617774
126,bengkulu,-3.8004,102.2655,23.08,91,48,2.42,ID,1691617774
127,talnakh,69.4865,88.3972,13.45,67,100,2.32,RU,1691617774
128,acapulco de juarez,16.8634,-99.8901,30.62,66,100,1.98,MX,1691617695
129,port mathurin,-19.6833,63.4167,22.84,66,0,7.37,MU,1691617477
130,trenggalek,-8.05,111.7167,20.72,94,89,1.25,ID,1691617774
131,mejit,10.2753,170.8646,27.76,71,88,4.6,MH,1691617774
132,lebu,-37.6167,-73.65,12.07,95,100,8.56,CL,1691617775
133,san patricio,28.017,-97.5169,38.43,48,0,9.68,US,1691617775
134,labrador city,52.9463,-66.9114,12.95,94,100,3.6,CA,1691617533
135,el granada,37.5027,-122.4694,32.26,69,100,5.66,US,1691617775
136,port lincoln,-34.7333,135.8667,10.62,72,53,3.61,AU,1691617775
137,whitehorse,60.7161,-135.0538,20.05,45,75,2.06,CA,1691617488
138,al jawf,29.5,38.75,30.03,23,0,1.58,SA,1691617775
139,chanika,-5.4167,38.0167,17.88,93,44,2.54,TZ,1691617776
140,askoy,60.4092,5.226,11.64,50,75,1.54,NO,1691617776
141,touros,-5.1989,-35.4608,24.89,80,56,7.59,BR,1691617497
142,nadym,65.5333,72.5167,8.19,79,0,9.59,RU,1691617776
143,ilulissat,69.2167,-51.1,12.01,43,75,1.54,GL,1691617776
144,st. john's,47.5649,-52.7093,13.77,86,100,6.69,CA,1691617776
145,nova vicosa,-17.8919,-39.3719,22.21,77,3,3.63,BR,1691617776
146,nyanza,-2.3519,29.7509,17.11,51,41,1.1,RW,1691617776
147,ankazoabo,-22.2833,44.5167,18.56,75,19,2.61,MG,1691617777
148,anda,46.4,125.3167,18.27,91,62,1.06,CN,1691617480
149,ixtapa,20.7,-105.2,32.9,75,46,1.34,MX,1691617777
150,shangjie,26.0864,119.1847,25.91,96,84,0.94,CN,1691617777
151,dergachi,51.2328,48.7659,21.79,50,5,3.8,RU,1691617777
152,ribas do rio pardo,-20.4431,-53.7592,30.57,27,39,1.08,BR,1691617778
153,hjo,58.3013,14.2878,12.99,96,100,5.67,SE,1691617778
154,bubaque,11.2833,-15.8333,27.19,83,80,3.45,GW,1691617778
155,alpine,32.835,-116.7664,32.99,47,0,3.6,US,1691617778
156,verdal,63.7933,11.4817,14.02,72,5,3.76,NO,1691617778
157,nar'yan-mar,67.6713,53.087,11.55,86,36,2.88,RU,1691617778
158,nuuk,64.1835,-51.7216,5.34,93,100,6.69,GL,1691617778
159,afaahiti,-17.75,-149.2833,26.93,71,94,6.57,PF,1691617778
160,rucar,45.4,25.1667,14.14,65,100,0.56,RO,1691617779
161,olinda,-8.0089,-34.8553,25.85,69,75,5.66,BR,1691617779
162,coron,11.9986,120.2043,26.13,91,66,2.85,PH,1691617779
163,bria,6.5423,21.9863,21.25,97,100,1.3,CF,1691617779
164,amos,48.5669,-78.1162,18.47,76,99,1.69,CA,1691617779
165,bilibino,68.0546,166.4372,12.62,43,99,1.89,RU,1691617779
166,lake city,30.1897,-82.6393,36.0,46,40,2.57,US,1691617779
167,lospalos,-8.5186,127.0025,19.91,94,51,1.8,TL,1691617780
168,alofi,-19.0595,-169.9187,26.94,89,75,3.09,NU,1691617664
169,illizi,26.4833,8.4667,31.89,14,0,3.9,DZ,1691617780
170,selfoss,63.9331,-20.9971,11.69,78,99,2.41,IS,1691617780
171,anadyr,64.75,177.4833,11.28,82,75,5.0,RU,1691617780
172,bobo-dioulasso,11.1771,-4.2979,23.25,100,75,3.6,BF,1691617780
173,yantzaza,-3.8278,-78.7594,22.01,72,77,0.59,EC,1691617780
174,copiapo,-27.3667,-70.3333,13.83,58,82,3.85,CL,1691617701
175,leava,-14.3,-178.1667,27.44,75,23,4.16,WF,1691617781
176,thompson,55.7435,-97.8558,19.09,48,75,1.54,CA,1691617621
177,hermanus,-34.4187,19.2345,12.88,84,0,4.49,ZA,1691617781
178,hasaki,35.7333,140.8333,28.5,77,66,4.69,JP,1691617781
179,revda,56.801,59.9303,14.96,81,86,1.16,RU,1691617572
180,banda aceh,5.5577,95.3222,25.98,83,84,5.92,ID,1691617704
181,vilyuysk,63.7553,121.6247,15.41,56,1,3.52,RU,1691617724
182,saynshand,44.8824,110.1163,23.37,45,95,6.82,MN,1691617781
183,sake,-1.5736,29.045,19.47,59,96,0.75,CD,1691617782
184,sao vicente,-23.9631,-46.3919,22.1,56,100,3.09,BR,1691617782
185,bridgewater,44.3835,-64.5155,21.79,86,94,7.72,CA,1691617782
186,mermoz boabab,14.7065,-17.4758,27.88,69,40,1.03,SN,1691617782
187,yinchuan,38.4681,106.2731,25.12,66,4,2.12,CN,1691617780
188,fisterra,42.9049,-9.2629,20.97,80,100,6.04,ES,1691617782
189,flin flon,54.7682,-101.865,18.91,39,20,2.57,CA,1691617477
190,luderitz,-26.6481,15.1594,22.45,45,84,2.82,NA,1691617783
191,melfort,52.8667,-104.6177,20.07,34,94,4.63,CA,1691617783
192,holualoa,19.6228,-155.9522,28.91,67,40,6.69,US,1691617783
193,pindushi,62.9152,34.58,19.89,75,85,3.01,RU,1691617783
194,powell,40.1578,-83.0752,26.0,73,75,5.66,US,1691617772
195,baidoa,3.1138,43.6498,21.11,80,52,5.57,SO,1691617783
196,santo antonio do ica,-3.1022,-67.9397,26.68,81,96,1.31,BR,1691617784
197,merizo village,13.2658,144.6691,26.31,95,100,8.21,GU,1691617784
198,xilin hot,43.9667,116.0333,16.4,79,1,1.58,CN,1691617784
199,ingeniero guillermo n. juarez,-23.9,-61.85,22.68,44,1,1.61,AR,1691617784
200,san jose del guaviare,2.5729,-72.6459,28.36,74,78,1.51,CO,1691617784
201,bac lieu,9.285,105.7244,26.35,85,9,4.06,VN,1691617784
202,leninskiy,54.2781,37.4558,14.43,79,3,2.56,RU,1691617784
203,amursk,50.2261,136.8994,16.17,74,100,6.3,RU,1691617719
204,malvan,16.0667,73.4667,26.16,82,100,2.34,IN,1691617785
205,hanceville,34.0607,-86.7675,31.76,72,99,2.1,US,1691617785
206,puerto ayacucho,5.6639,-67.6236,27.19,83,99,2.26,VE,1691617785
207,salalah,17.0151,54.0924,26.05,94,100,3.09,OM,1691617785
208,nagqu,31.5,92.0,5.29,82,65,1.71,CN,1691617785
209,dakhla,23.6848,-15.958,22.01,88,4,9.26,EH,1691617785
210,arcachon,44.5875,-1.0519,27.18,38,0,3.6,FR,1691617785
211,murun-kuren,49.6342,100.1625,13.03,91,94,2.15,MN,1691617785
212,sisimiut,66.9395,-53.6735,5.97,85,100,4.0,GL,1691617554
213,kyabe,9.4515,18.9449,20.49,98,100,0.93,TD,1691617786
214,ceeldheer,3.8488,47.1806,23.91,87,52,7.26,SO,1691617786
215,longonjo,-12.9067,15.2533,18.1,36,18,0.31,AO,1691617786
216,el fasher,13.6279,25.3494,26.69,63,79,3.76,SD,1691617786
217,sheridan,44.8333,-106.9173,29.21,34,0,3.09,US,1691617786
218,opuwo,-18.0607,13.84,17.42,38,12,2.38,NA,1691617693
219,strathalbyn,-35.2667,138.9,11.73,94,1,3.06,AU,1691617787
220,manismata,-2.4667,111.0333,21.53,96,56,1.24,ID,1691617787
221,nemuro,43.3236,145.575,18.9,100,100,5.6,JP,1691617787
222,tromso,69.6496,18.957,20.01,52,0,6.17,NO,1691617719
223,nieuw amsterdam,5.8833,-55.0833,30.01,79,94,5.78,SR,1691617787
224,manta,-0.95,-80.7333,29.88,78,75,7.6,EC,1691617787
225,aykhal,66.0,111.5,16.06,57,92,2.59,RU,1691617787
226,ridder,50.355,83.5133,11.82,65,34,2.1,KZ,1691617787
227,newport,51.5877,-2.9984,19.81,88,41,1.66,GB,1691617645
228,sumbawanga,-7.9667,31.6167,14.46,50,3,2.61,TZ,1691617788
229,homun,20.7333,-89.2833,40.06,26,23,2.34,MX,1691617788
230,tra mhor,52.1624,-7.1524,17.32,83,3,4.02,IE,1691617788
231,luzilandia,-3.4578,-42.3703,24.96,82,73,3.23,BR,1691617788
232,tralee,52.2704,-9.7026,15.83,95,0,3.71,IE,1691617788
233,jalapa,19.5333,-96.9167,25.06,62,73,2.72,MX,1691617121
234,invercargill,-46.4,168.35,2.23,96,84,1.34,NZ,1691617488
235,carutapera,-1.195,-46.02,25.0,89,71,3.4,BR,1691617539
236,anna regina,7.2644,-58.5077,27.86,77,49,4.9,GY,1691617789
237,lazaro cardenas,17.9583,-102.2,31.18,66,24,2.37,MX,1691617789
238,garoua,9.3,13.4,22.3,96,100,0.48,CM,1691617789
239,antsiranana,-12.2787,49.2917,21.78,79,1,4.62,MG,1691617681
240,basoko,1.2391,23.616,23.4,86,100,1.2,CD,1691617789
241,kismayo,-0.3582,42.5454,24.11,84,45,6.42,SO,1691617616
242,port alfred,-33.5906,26.891,16.21,86,31,3.13,ZA,1691617227
243,patterson,37.4716,-121.1297,35.01,12,0,1.96,US,1691617616
244,homer,59.6425,-151.5483,13.76,94,100,1.54,US,1691617530
245,coquimbo,-29.9533,-71.3436,14.85,82,100,3.09,CL,1691617473
246,susuman,62.7833,148.1667,9.26,75,75,0.86,RU,1691617790
247,eyl,7.9803,49.8164,25.31,73,34,10.19,SO,1691617790
248,margate,51.3813,1.3862,16.6,77,0,1.34,GB,1691617790
249,cabo san lucas,22.8909,-109.9124,35.03,70,100,4.63,MX,1691617228
250,carnarvon,-24.8667,113.6333,19.3,74,22,4.22,AU,1691617639
251,north bend,43.4065,-124.2243,28.47,64,0,5.14,US,1691617790
252,puerto deseado,-47.7503,-65.8938,9.71,75,94,6.07,AR,1691617790
253,badou,7.5833,0.6,22.4,96,100,2.79,TG,1691617790
